epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
97,60.3657,0.77275,1.07816,1.01287,0.92653,0.5,0.53238,0.2932,1.48843,2.4385,1.50232,0.00100762,0.00100762,0.00100762
98,60.9217,0.71927,0.99896,0.9711,0.83945,0.5,0.5346,0.29456,1.51517,2.427,1.55247,0.00100851,0.00100851,0.00100851
99,61.3814,0.80948,1.07453,0.9614,0.83945,0.5,0.5346,0.29456,1.51517,2.427,1.55247,0.0010092,0.0010092,0.0010092
100,61.9899,0.90878,1.16288,1.02928,0.87054,0.5,0.60542,0.32246,1.46531,2.1778,1.52057,0.0010097,0.0010097,0.0010097
101,62.4909,0.70629,0.89245,0.92964,0.87054,0.5,0.60542,0.32246,1.46531,2.1778,1.52057,0.00101,0.00101,0.00101
102,63.0565,0.70367,1.13335,0.97605,0.89944,0.5,0.70056,0.43147,1.41421,1.96321,1.47192,0.0010001,0.0010001,0.0010001
103,63.5621,0.67488,0.95365,0.99566,0.89944,0.5,0.70056,0.43147,1.41421,1.96321,1.47192,0.0009902,0.0009902,0.0009902
104,64.168,0.66904,0.79913,0.91985,1,0.69011,0.83591,0.55694,1.36171,1.69299,1.51167,0.0009803,0.0009803,0.0009803
105,64.7567,0.69501,1.00608,0.90085,1,0.69011,0.83591,0.55694,1.36171,1.69299,1.51167,0.0009704,0.0009704,0.0009704
106,65.2862,0.67127,0.86253,0.91132,0.91011,0.75,0.81167,0.5745,1.34489,1.56263,1.51628,0.0009605,0.0009605,0.0009605
107,65.8366,0.66893,0.8153,0.93722,0.91011,0.75,0.81167,0.5745,1.34489,1.56263,1.51628,0.0009506,0.0009506,0.0009506
108,66.3741,0.81427,0.93934,0.91614,0.70401,0.75,0.745,0.4965,1.48058,1.66466,1.51634,0.0009407,0.0009407,0.0009407
109,66.8589,0.62562,0.81334,0.93227,0.70401,0.75,0.745,0.4965,1.48058,1.66466,1.51634,0.0009308,0.0009308,0.0009308
110,67.3835,0.75674,0.898,0.98637,0.70609,0.75,0.74132,0.50128,1.53104,1.64344,1.54753,0.0009209,0.0009209,0.0009209
111,67.8825,0.69195,0.85299,0.9391,0.70609,0.75,0.74132,0.50128,1.53104,1.64344,1.54753,0.000911,0.000911,0.000911
112,69.2747,0.6635,0.8722,0.93211,0.68021,0.75,0.75942,0.50852,1.51912,1.66627,1.54759,0.0009011,0.0009011,0.0009011
113,69.9564,0.69991,0.89651,0.95442,0.68021,0.75,0.75942,0.50852,1.51912,1.66627,1.54759,0.0008912,0.0008912,0.0008912
114,70.8444,0.72577,0.85034,0.91217,1,0.72196,0.85611,0.546,1.50922,1.6694,1.48249,0.0008813,0.0008813,0.0008813
115,71.3615,0.58744,0.8195,0.89353,1,0.72196,0.85611,0.546,1.50922,1.6694,1.48249,0.0008714,0.0008714,0.0008714
116,71.885,0.64677,0.89055,0.88066,1,0.72467,0.88786,0.63002,1.41825,1.68393,1.45358,0.0008615,0.0008615,0.0008615
117,72.4509,0.74256,0.91537,0.9009,1,0.72467,0.88786,0.63002,1.41825,1.68393,1.45358,0.0008516,0.0008516,0.0008516
118,73.0414,0.59134,0.78474,0.93372,1,0.73502,0.845,0.5845,1.3771,1.65533,1.50793,0.0008417,0.0008417,0.0008417
119,73.613,0.59294,0.78062,0.85794,1,0.73502,0.845,0.5845,1.3771,1.65533,1.50793,0.0008318,0.0008318,0.0008318
120,74.1635,0.6782,0.77029,0.94292,1,0.74246,0.79763,0.50804,1.44264,1.61029,1.66126,0.0008219,0.0008219,0.0008219
121,74.6873,0.5794,0.72505,0.89613,1,0.74246,0.79763,0.50804,1.44264,1.61029,1.66126,0.000812,0.000812,0.000812
122,75.2054,0.62744,0.78315,0.89199,1,0.74304,0.76583,0.49233,1.47358,1.75126,1.73882,0.0008021,0.0008021,0.0008021
123,75.7938,0.63193,0.8171,0.97077,1,0.74304,0.76583,0.49233,1.47358,1.75126,1.73882,0.0007922,0.0007922,0.0007922
124,76.5627,0.63372,0.78076,0.91306,0.70725,0.75,0.6825,0.434,1.44901,1.79101,1.6615,0.0007823,0.0007823,0.0007823
125,77.3468,0.56179,0.70525,0.88379,0.70725,0.75,0.6825,0.434,1.44901,1.79101,1.6615,0.0007724,0.0007724,0.0007724
126,77.9052,0.6956,0.82939,0.90924,1,0.70537,0.745,0.4715,1.40975,1.78752,1.60478,0.0007625,0.0007625,0.0007625
127,78.3998,0.74644,0.8268,0.89913,1,0.70537,0.745,0.4715,1.40975,1.78752,1.60478,0.0007526,0.0007526,0.0007526
128,78.9748,0.50926,0.73513,0.8559,0.98544,0.75,0.7753,0.49423,1.37546,1.67815,1.57536,0.0007427,0.0007427,0.0007427
129,79.5171,0.65011,0.78485,0.90909,0.98544,0.75,0.7753,0.49423,1.37546,1.67815,1.57536,0.0007328,0.0007328,0.0007328
130,80.0429,0.60683,0.66525,0.86696,0.98307,0.75,0.81167,0.50967,1.42103,1.62758,1.59335,0.0007229,0.0007229,0.0007229
131,80.5989,0.56774,0.80536,0.90412,0.98307,0.75,0.81167,0.50967,1.42103,1.62758,1.59335,0.000713,0.000713,0.000713
132,81.2491,0.54813,0.70979,0.85059,0.9808,0.75,0.88786,0.5249,1.3913,1.50014,1.56686,0.0007031,0.0007031,0.0007031
133,82.1798,0.54642,0.77222,0.8684,0.9808,0.75,0.88786,0.5249,1.3913,1.50014,1.56686,0.0006932,0.0006932,0.0006932
134,83.1265,0.63827,0.7395,0.87389,0.97591,0.75,0.88786,0.53732,1.48948,1.40557,1.55328,0.0006833,0.0006833,0.0006833
135,83.8331,0.59241,0.81565,0.92475,0.97591,0.75,0.88786,0.53732,1.48948,1.40557,1.55328,0.0006734,0.0006734,0.0006734
136,84.4965,0.57923,0.8027,0.90725,0.98085,0.75,0.88786,0.56232,1.47148,1.26442,1.39562,0.0006635,0.0006635,0.0006635
137,85.0128,0.48712,0.67388,0.87819,0.98085,0.75,0.88786,0.56232,1.47148,1.26442,1.39562,0.0006536,0.0006536,0.0006536
138,85.5283,0.54096,0.76787,0.90078,0.99039,0.75,0.88786,0.57732,1.29993,1.2171,1.31014,0.0006437,0.0006437,0.0006437
139,86.0047,0.69472,0.70972,0.89277,0.99039,0.75,0.88786,0.57732,1.29993,1.2171,1.31014,0.0006338,0.0006338,0.0006338
140,86.5164,0.50469,0.62813,0.79419,0.79567,0.97835,0.945,0.6285,1.13467,1.11331,1.26291,0.0006239,0.0006239,0.0006239
141,86.9878,0.67045,0.80392,0.93019,0.79567,0.97835,0.945,0.6285,1.13467,1.11331,1.26291,0.000614,0.000614,0.000614
142,87.5799,0.51595,0.70839,0.82495,0.78439,1,0.945,0.66021,1.07309,1.05033,1.23387,0.0006041,0.0006041,0.0006041
143,88.1351,0.48785,0.67706,0.89415,0.78439,1,0.945,0.66021,1.07309,1.05033,1.23387,0.0005942,0.0005942,0.0005942
144,88.7101,0.51006,0.74638,0.88585,1,0.97003,0.995,0.71743,0.9851,0.98084,1.22229,0.0005843,0.0005843,0.0005843
145,89.2702,0.55112,0.76633,0.899,1,0.97003,0.995,0.71743,0.9851,0.98084,1.22229,0.0005744,0.0005744,0.0005744
146,89.8821,0.62954,0.71179,0.8594,1,0.99939,0.995,0.746,0.94222,0.92531,1.20745,0.0005645,0.0005645,0.0005645
147,90.4553,0.51227,0.71312,0.82648,1,0.99939,0.995,0.746,0.94222,0.92531,1.20745,0.0005546,0.0005546,0.0005546
148,91.0226,0.73372,0.8427,0.94938,0.98851,1,0.995,0.746,1.00561,0.86422,1.21569,0.0005447,0.0005447,0.0005447
149,91.5462,0.46058,0.58295,0.80114,0.98851,1,0.995,0.746,1.00561,0.86422,1.21569,0.0005348,0.0005348,0.0005348
150,92.0972,0.57906,0.74447,0.91797,0.97893,1,0.995,0.72616,1.10114,0.85382,1.24657,0.0005249,0.0005249,0.0005249
151,92.6733,0.47594,0.63677,0.86359,0.97893,1,0.995,0.72616,1.10114,0.85382,1.24657,0.000515,0.000515,0.000515
152,93.3766,0.65301,0.80209,1.00716,0.97976,1,0.995,0.68784,1.15619,0.88971,1.31933,0.0005051,0.0005051,0.0005051
153,93.8963,0.56684,0.70278,0.87581,0.97976,1,0.995,0.68784,1.15619,0.88971,1.31933,0.0004952,0.0004952,0.0004952
154,94.625,0.4704,0.68395,0.88647,0.98362,1,0.995,0.67118,1.17473,0.8863,1.40561,0.0004853,0.0004853,0.0004853
155,95.3623,0.46143,0.62181,0.83405,0.98362,1,0.995,0.67118,1.17473,0.8863,1.40561,0.0004754,0.0004754,0.0004754
156,96.2001,0.57859,0.65066,0.88502,0.98985,1,0.995,0.688,1.15009,0.86425,1.46807,0.0004655,0.0004655,0.0004655
157,97.0082,0.54408,0.77226,0.87177,0.98985,1,0.995,0.688,1.15009,0.86425,1.46807,0.0004556,0.0004556,0.0004556
158,97.7298,0.6053,0.69978,0.9039,0.98994,1,0.995,0.69267,1.08034,0.8146,1.46275,0.0004457,0.0004457,0.0004457
159,98.252,0.59317,0.69378,0.98371,0.98994,1,0.995,0.69267,1.08034,0.8146,1.46275,0.0004358,0.0004358,0.0004358
160,98.7865,0.46358,0.60784,0.84001,0.99051,1,0.995,0.6845,1.00728,0.79642,1.43031,0.0004259,0.0004259,0.0004259
161,99.2987,0.43937,0.6107,0.83554,0.99051,1,0.995,0.6845,1.00728,0.79642,1.43031,0.000416,0.000416,0.000416
162,99.8473,0.49755,0.64964,0.85125,0.99081,1,0.995,0.7045,0.97758,0.81729,1.36592,0.0004061,0.0004061,0.0004061
163,100.337,0.41989,0.58978,0.86314,0.99081,1,0.995,0.7045,0.97758,0.81729,1.36592,0.0003962,0.0003962,0.0003962
164,100.902,0.45733,0.6226,0.8405,0.99157,1,0.995,0.71267,0.96363,0.83353,1.34916,0.0003863,0.0003863,0.0003863
165,101.362,0.57437,0.6093,0.86321,0.99157,1,0.995,0.71267,0.96363,0.83353,1.34916,0.0003764,0.0003764,0.0003764
166,101.875,0.49076,0.62073,0.77984,0.99049,1,0.995,0.65469,1.00982,0.82904,1.38236,0.0003665,0.0003665,0.0003665
167,102.45,0.47652,0.68484,0.87875,0.99049,1,0.995,0.65469,1.00982,0.82904,1.38236,0.0003566,0.0003566,0.0003566
168,103.007,0.47482,0.64772,0.81814,0.98939,1,0.995,0.68783,1.07475,0.82433,1.41953,0.0003467,0.0003467,0.0003467
169,103.585,0.504,0.64173,0.8455,0.98939,1,0.995,0.68783,1.07475,0.82433,1.41953,0.0003368,0.0003368,0.0003368
170,104.112,0.44582,0.66422,0.85516,0.98788,1,0.995,0.7294,1.12059,0.83972,1.4814,0.0003269,0.0003269,0.0003269
171,104.614,0.4583,0.55525,0.88536,0.98788,1,0.995,0.7294,1.12059,0.83972,1.4814,0.000317,0.000317,0.000317
172,105.148,0.45804,0.57548,0.83167,0.9878,1,0.995,0.74175,1.11204,0.85568,1.4739,0.0003071,0.0003071,0.0003071
173,105.856,0.44885,0.56502,0.81059,0.9878,1,0.995,0.74175,1.11204,0.85568,1.4739,0.0002972,0.0002972,0.0002972
174,106.455,0.41909,0.57092,0.8303,0.98765,1,0.995,0.73175,1.09835,0.86021,1.44507,0.0002873,0.0002873,0.0002873
175,106.967,0.54521,0.67971,0.92622,0.98765,1,0.995,0.73175,1.09835,0.86021,1.44507,0.0002774,0.0002774,0.0002774
176,107.57,0.62464,0.66602,0.86823,0.98817,1,0.995,0.73175,1.07788,0.88245,1.40118,0.0002675,0.0002675,0.0002675
177,108.373,0.42788,0.56652,0.90125,0.98817,1,0.995,0.73175,1.07788,0.88245,1.40118,0.0002576,0.0002576,0.0002576
178,109.184,0.47904,0.63756,0.89302,0.98846,1,0.995,0.7195,1.05664,0.81274,1.34318,0.0002477,0.0002477,0.0002477
179,110.073,0.46892,0.59753,0.85942,0.98846,1,0.995,0.7195,1.05664,0.81274,1.34318,0.0002378,0.0002378,0.0002378
180,110.805,0.42843,0.55397,0.84037,0.98869,1,0.995,0.7195,1.07364,0.79785,1.3173,0.0002279,0.0002279,0.0002279
181,111.303,0.41468,0.57695,0.84955,0.98869,1,0.995,0.7195,1.07364,0.79785,1.3173,0.000218,0.000218,0.000218
182,111.872,0.4101,0.59964,0.81825,0.98875,1,0.995,0.7195,1.12521,0.78959,1.30593,0.0002081,0.0002081,0.0002081
183,112.348,0.27945,0.56424,0.83048,0.98875,1,0.995,0.7195,1.12521,0.78959,1.30593,0.0001982,0.0001982,0.0001982
184,112.914,0.49265,0.64684,0.88406,0.98867,1,0.995,0.6913,1.17464,0.78326,1.3296,0.0001883,0.0001883,0.0001883
185,113.414,0.41205,0.58243,0.90961,0.98867,1,0.995,0.6913,1.17464,0.78326,1.3296,0.0001784,0.0001784,0.0001784
